"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"JACK-PLUG0";"SPC4077";"J1";"DC POWER JACK";"";"";"unknown";"unknown";
"4";"";"R-EU_R2512";"R2512";"R1, R2, R3, R4";"RESISTOR, European symbol";"";"";"";"";
"1";"0.1uF";"C-USC0805";"C0805";"C10";"CAPACITOR, American symbol";"";"";"";"";
"4";"0.22uF";"C-USC0603K";"C0603K";"C1, C3, C5, C7";"CAPACITOR, American symbol";"";"";"";"";
"4";"100uF";"CAP_POLD";"PANASONIC_D";"C2, C4, C6, C8";"Capacitor Polarized";"";"";"";"";
"1";"10uF";"CAP_POLD";"PANASONIC_D";"C9";"Capacitor Polarized";"";"";"";"";
"4";"22-27-2061-06";"22-27-2061-06";"6410-06";"J2, J3, J4, J5";"CONNECTOR";"";"";"unknown";"unknown";
"4";"A4950";"A4950";"SOICN8-PAD";"U1, U2, U3, U4";"";"";"";"";"";
"1";"ARDUINO-MEGAFULL";"ARDUINO-MEGAFULL";"ARDUINO_MEGA";"U5";"Arduino Mega board footprint";"";"";"";"";
"1";"XL4005";"XL4005";"XL4005";"U$1";"";"";"";"";"";
